倫敦	名詞	固有名詞	地名	一般	*	*	ロンドン	ロンドン-London	倫敦	ロンドン	ロンドン	固	倫敦	ロンドン	ロンドン	ロンドン	*	*	*	*	*	*	1	*	*
塔	名詞	普通名詞	一般	*	*	*	トウ	塔	塔	トー	トウ	漢	塔	トー	トウ	トウ	*	*	*	*	*	*	1	C3	*
夏目	名詞	固有名詞	人名	姓	*	*	ナツメ	ナツメ	夏目	ナツメ	ナツメ	固	夏目	ナツメ	ナツメ	ナツメ	*	*	*	*	*	*	0	*	*
漱石	名詞	固有名詞	人名	名	*	*	ソウセキ	ソウセキ	漱石	ソーセキ	ソウセキ	固	漱石	ソーセキ	ソウセキ	ソウセキ	*	*	*	*	*	*	1	*	*
　	空白	*	*	*	*	*		　	　			記号	　				*	*	*	*	*	*	*	*	*
二	名詞	数詞	*	*	*	*	ニ	二	二	ニ	ニ	漢	二	ニ	ニ	ニ	*	*	*	イ長添	基本形	*	1	C3	*
年	名詞	普通名詞	助数詞可能	*	*	*	ネン	年	年	ネン	ネン	漢	年	ネン	ネン	ネン	*	*	*	*	*	B4WW7G9G	1	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
留学	名詞	普通名詞	サ変可能	*	*	*	リュウガク	留学	留学	リューガク	リュウガク	漢	留学	リューガク	リュウガク	リュウガク	*	*	*	*	*	*	0	C2	*
中	接尾辞	名詞的	副詞可能	*	*	*	チュウ	中	中	チュー	チュウ	漢	中	チュー	チュウ	チュウ	チ濁	基本形	*	*	*	*	*	C4	*
ただ	副詞	*	*	*	*	*	タダ	唯	ただ	タダ	タダ	和	ただ	タダ	タダ	タダ	*	*	*	*	*	*	1	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
度	名詞	普通名詞	助数詞可能	*	*	*	ド	度	度	ド	ド	漢	度	ド	ド	ド	*	*	*	*	*	B	0	C3	*
｜	補助記号	一般	*	*	*	*		｜	｜			記号	｜				*	*	*	*	*	*	*	*	*
倫敦	名詞	固有名詞	地名	一般	*	*	ロンドン	ロンドン-London	倫敦	ロンドン	ロンドン	固	倫敦	ロンドン	ロンドン	ロンドン	*	*	*	*	*	*	1	*	*
塔	名詞	普通名詞	一般	*	*	*	トウ	塔	塔	トー	トウ	漢	塔	トー	トウ	トウ	*	*	*	*	*	*	1	C3	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ロンドン	名詞	固有名詞	地名	一般	*	*	ロンドン	ロンドン-London	ロンドン	ロンドン	ロンドン	固	ロンドン	ロンドン	ロンドン	ロンドン	*	*	*	*	*	*	1	*	*
とう	接尾辞	名詞的	一般	*	*	*	トウ	灯	とう	トー	トウ	漢	とう	トー	トウ	トウ	*	*	*	*	*	*	*	C4	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
